id,complex_sentence,simplified_level_1,simplified_level_2,simplified_level_3,image_prompt
18,"শীতের সকালে, কুয়াশার মধ্যে আমি পার্কে হাঁটি।","শীতের সকালে কুয়াশায় আমি পার্কে হাঁটি।","শীতের সকালে কুয়াশা। পার্কে হাঁটি।","পার্কে হাঁটি।","A stick figure walking on a green path in a park. Plain white background, no extra details."
19,"আমার কুকুর, যে খুব দুষ্টু, সারাদিন বাড়িতে দৌড়ায়।","কুকুর দুষ্টু। সে সারাদিন বাড়িতে দৌড়ায়।","কুকুর দুষ্টু। বাড়িতে দৌড়ায়।","কুকুর দৌড়ায়।","A brown dog running with a happy face. Use bold colors and a plain white background. No other elements."
20,"আমি যখন গান শুনি, তখন আমার মন শান্ত হয়।","আমি গান শুনি। মন শান্ত হয়।","গান শুনি। মন শান্ত হয়।","গান শুনি।","A stick figure with a blue music note above its head. Plain white background, no extra details."
21,"বিকেলে, আমি আমার বন্ধুদের সাথে ফুটবল খেলি।","বিকেলে আমি বন্ধুদের সাথে ফুটবল খেলি।","বিকেলে বন্ধুদের সাথে ফুটবল খেলি।","ফুটবল খেলি।","A black and white football being kicked by a stick figure. Plain white background, no extra details."
22,"আমার মা আমার জন্য সুস্বাদু খাবার রান্না করেন, যা আমি খুব পছন্দ করি।","মা আমার জন্য খাবার রান্না করেন। আমি খাবার পছন্দ করি।","মা খাবার রান্না করে। আমি পছন্দ করি।","মা খাবার রান্না করে।","A stick figure cooking with a red pot on a stove. Plain white background, no extra details."
23,"পড়াশোনা শেষ করে, আমি আমার বন্ধুদের সাথে গল্প করি।","পড়াশোনা শেষ করে আমি বন্ধুদের সাথে গল্প করি।","পড়াশোনা শেষ। বন্ধুদের সাথে গল্প করি।","বন্ধুদের সাথে গল্প করি।","Two stick figures talking with speech bubbles above their heads. Use blue stick figures and a plain white background. No other elements."
24,"আমি যখন আকাশে তারা দেখি, তখন আমার মনে শান্তি আসে।","আকাশে তারা দেখি। মনে শান্তি আসে।","তারা দেখি। মন শান্ত হয়।","তারা দেখি।","A single bright yellow star in a dark blue sky. Plain white background, no extra details."
25,"বাড়ির ছাদে দাঁড়িয়ে, আমি দূরের পাহাড় দেখি।","ছাদে দাঁড়িয়ে আমি পাহাড় দেখি।","ছাদে দাঁড়াই। পাহাড় দেখি।","পাহাড় দেখি।","A green mountain in the distance with a stick figure standing on a roof. Use bold colors and a plain white background. No other elements."
26,"আমি আমার দাদুর কাছ থেকে গল্প শুনি, যা আমাকে অনুপ্রাণিত করে।","দাদুর কাছ থেকে গল্প শুনি। গল্প আমাকে অনুপ্রাণিত করে।","দাদুর গল্প শুনি। এটা অনুপ্রাণিত করে।","দাদুর গল্প শুনি।","A stick figure listening to another stick figure with a speech bubble. Use blue stick figures and a plain white background. No other elements."
27,"গ্রামের মাঠে, আমি আমার বন্ধুদের সাথে দৌড় প্রতিযোগিতা করি।","মাঠে আমি বন্ধুদের সাথে দৌড় প্রতিযোগিতা করি।","মাঠে বন্ধুদের সাথে দৌড়াই।","মাঠে দৌড়াই।","A stick figure running on a green field. Plain white background, no extra details."
28,"আমি যখন সাইকেল চালাই, তখন আমি খুব মজা পাই।","আমি সাইকেল চালাই। আমি মজা পাই।","সাইকেল চালাই। মজা পাই।","সাইকেল চালাই।","A stick figure riding a red bicycle. Plain white background, no extra details."
29,"আমার বোন আমার সাথে ছবি আঁকে, যা আমাদের সময় কাটাতে সাহায্য করে।","বোন আমার সাথে ছবি আঁকে। এটা সময় কাটাতে সাহায্য করে।","বোন ছবি আঁকে। সময় কাটে।","বোন ছবি আঁকে।","A stick figure drawing a picture with a red crayon. Plain white background, no extra details."
30,"আমি যখন সমুদ্রের ধারে হাঁটি, তখন ঢেউয়ের শব্দ আমাকে শান্ত করে।","সমুদ্রের ধারে হাঁটি। ঢেউয়ের শব্দ আমাকে শান্ত করে।","সমুদ্রের ধারে হাঁটি। ঢেউ শান্ত করে।","সমুদ্রের ধারে হাঁটি।","A stick figure walking near a blue wave on a beach. Use bold colors and a plain white background. No other elements."
31,"আমি আমার বাগানে গাছ লাগাই, যা পরিবেশকে সুন্দর করে।","বাগানে গাছ লাগাই। এটা পরিবেশ সুন্দর করে।","বাগানে গাছ লাগাই। পরিবেশ সুন্দর হয়।","গাছ লাগাই।","A stick figure planting a green tree in the ground. Plain white background, no extra details."
32,"আমার বাবা আমাকে নতুন খেলনা কিনে দেন, যা আমি খুব পছন্দ করি।","বাবা আমাকে খেলনা কিনে দেন। আমি খেলনা পছন্দ করি।","বাবা খেলনা কিনে দেন। আমি পছন্দ করি।","বাবা খেলনা কিনে দেন।","A stick figure holding a bright red toy car. Plain white background, no extra details."
33,"আমি যখন পার্কে খেলি, তখন আমি অনেক বন্ধু পাই।","পার্কে খেলি। আমি বন্ধু পাই।","পার্কে খেলি। বন্ধু পাই।","পার্কে খেলি।","A stick figure playing with a ball in a green park. Plain white background, no extra details."
34,"আমি যখন আকাশে ঘুড়ি উড়াই, তখন আমি খুব আনন্দ পাই।","আকাশে ঘুড়ি উড়াই। আমি আনন্দ পাই।","ঘুড়ি উড়াই। আনন্দ পাই।","ঘুড়ি উড়াই।","A bright red kite flying in a blue sky with a stick figure holding the string. Plain white background, no extra details."
35,"আমি আমার বন্ধুদের সাথে পড়াশোনা করি, যা আমাদের জ্ঞান বাড়ায়।","বন্ধুদের সাথে পড়াশোনা করি। জ্ঞান বাড়ে।","বন্ধুদের সাথে পড়ি। জ্ঞান বাড়ে।","বন্ধুদের সাথে পড়ি।","Two stick figures sitting at a table with blue books. Plain white background, no extra details."
36,"আমি যখন বৃষ্টিতে ভিজি, তখন আমি হাসি।","বৃষ্টিতে ভিজি। আমি হাসি।","বৃষ্টিতে ভিজি। হাসি।","বৃষ্টিতে ভিজি।","A stick figure standing under blue raindrops with a happy face. Plain white background, no extra details."
37,"আমি আমার শিক্ষকের কাছ থেকে নতুন জিনিস শিখি, যা আমাকে সাহায্য করে।","শিক্ষকের কাছ থেকে নতুন জিনিস শিখি। এটা আমাকে সাহায্য করে।","শিক্ষকের কাছ থেকে শিখি। এটা সাহায্য করে।","শিক্ষকের কাছ থেকে শিখি।","A stick figure listening to a teacher with a chalkboard. Use blue stick figures and a plain white background. No other elements."
38,"আমি যখন চাঁদ দেখি, তখন আমার মনে শান্তি আসে।","চাঁদ দেখি। মনে শান্তি আসে।","চাঁদ দেখি। মন শান্ত হয়।","চাঁদ দেখি।","A bright yellow moon in a dark blue sky. Plain white background, no extra details."
39,"আমি আমার বন্ধুদের সাথে গান গাই, যা আমাদের মজা দেয়।","বন্ধুদের সাথে গান গাই। এটা মজা দেয়।","বন্ধুদের সাথে গান গাই। মজা হয়।","বন্ধুদের সাথে গান গাই।","Two stick figures singing with blue music notes above their heads. Plain white background, no extra details."
40,"আমি যখন নদীতে সাঁতার কাটি, তখন আমি খুব মজা পাই।","নদীতে সাঁতার কাটি। আমি মজা পাই।","নদীতে সাঁতার কাটি। মজা পাই।","নদীতে সাঁতার কাটি।","A stick figure swimming in a blue river. Plain white background, no extra details."
41,"আমি আমার বাগানে ফলের গাছ লাগাই, যা আমাদের ফল দেয়।","বাগানে ফলের গাছ লাগাই। গাছ ফল দেয়।","বাগানে গাছ লাগাই। ফল পাই।","গাছ লাগাই।","A stick figure planting a green tree with red apples. Plain white background, no extra details."
42,"আমি যখন আমার বন্ধুদের সাথে ছবি তুলি, তখন আমরা হাসি।","বন্ধুদের সাথে ছবি তুলি। আমরা হাসি।","বন্ধুদের সাথে ছবি তুলি। হাসি।","বন্ধুদের সাথে ছবি তুলি।","Two stick figures taking a photo with a red camera. Plain white background, no extra details."
43,"আমি যখন পড়তে বসি, তখন আমি অনেক নতুন জিনিস শিখি।","পড়তে বসি। নতুন জিনিস শিখি।","পড়ি। নতুন জিনিস শিখি।","পড়ি।","A stick figure reading a blue book at a table. Plain white background, no extra details."
44,"আমি আমার দাদির কাছ থেকে রান্না শিখি, যা আমাকে আনন্দ দেয়।","দাদির কাছ থেকে রান্না শিখি। এটা আনন্দ দেয়।","দাদির কাছ থেকে রান্না শিখি। আনন্দ হয়।","দাদির কাছ থেকে রান্না শিখি।","A stick figure cooking with a red pot next to another stick figure. Plain white background, no extra details."
45,"আমি যখন বাগানে ফুল দেখি, তখন আমি হাসি।","বাগানে ফুল দেখি। আমি হাসি।","বাগানে ফুল দেখি। হাসি।","ফুল দেখি।","A single red flower in a garden. Plain white background, no extra details."
46,"আমি যখন সমুদ্রে জাহাজ দেখি, তখন আমি খুব উৎসাহিত হই।","সমুদ্রে জাহাজ দেখি। আমি উৎসাহিত হই।","সমুদ্রে জাহাজ দেখি। উৎসাহিত হই।","জাহাজ দেখি।","A red ship on a blue sea. Plain white background, no extra details."
47,"আমি আমার বন্ধুদের সাথে পড়াশোনা করি, যা আমাদের সাহায্য করে।","বন্ধুদের সাথে পড়াশোনা করি। এটা সাহায্য করে।","বন্ধুদের সাথে পড়ি। সাহায্য করে।","বন্ধুদের সাথে পড়ি।","Two stick figures reading blue books together. Plain white background, no extra details."
48,"আমি যখন পাহাড়ে উঠি, তখন আমি খুব ক্লান্ত হই।","পাহাড়ে উঠি। আমি ক্লান্ত হই।","পাহাড়ে উঠি। ক্লান্ত হই।","পাহাড়ে উঠি।","A stick figure climbing a green mountain. Plain white background, no extra details."
49,"আমি আমার বন্ধুদের সাথে গল্পের বই পড়ি, যা আমাদের মজা দেয়।","বন্ধুদের সাথে গল্পের বই পড়ি। এটা মজা দেয়।","বন্ধুদের সাথে গল্প পড়ি। মজা হয়।","বন্ধুদের সাথে গল্প পড়ি।","Two stick figures reading a blue storybook together. Plain white background, no extra details."
50,"আমি যখন বৃষ্টির মধ্যে খেলি, তখন আমি ভিজে যাই।","বৃষ্টির মধ্যে খেলি। আমি ভিজে যাই।","বৃষ্টিতে খেলি। ভিজে যাই।","বৃষ্টিতে খেলি।","A stick figure playing under blue raindrops. Plain white background, no extra details."
51,"আমি আমার মায়ের সাথে বাজারে যাই, যেখানে আমরা সবজি কিনি।","মায়ের সাথে বাজারে যাই। আমরা সবজি কিনি।","মায়ের সাথে বাজারে যাই। সবজি কিনি।","মায়ের সাথে বাজারে যাই।","Two stick figures walking to a market with a basket. Use blue stick figures and a plain white background. No other elements."
52,"আমি যখন নদীর ধারে বসি, তখন আমি মাছ দেখি।","নদীর ধারে বসি। আমি মাছ দেখি।","নদীর ধারে বসি। মাছ দেখি।","মাছ দেখি।","A blue fish swimming in a river. Plain white background, no extra details."
53,"আমি আমার বন্ধুদের সাথে পিকনিকে যাই, যেখানে আমরা খেলি।","বন্ধুদের সাথে পিকনিকে যাই। আমরা খেলি।","বন্ধুদের সাথে পিকনিকে যাই। খেলি।","পিকনিকে যাই।","Two stick figures having a picnic with a red blanket. Plain white background, no extra details."
54,"আমি যখন সূর্যোদয় দেখি, তখন আমার মন ভালো হয়।","সূর্যোদয় দেখি। মন ভালো হয়।","সূর্যোদয় দেখি। মন ভালো।","সূর্যোদয় দেখি।","A bright red sun rising over a simple horizon. Plain white background, no extra details."
55,"আমি আমার বন্ধুদের সাথে ছবি আঁকি, যা আমাদের মজা দেয়।","বন্ধুদের সাথে ছবি আঁকি। এটা মজা দেয়।","বন্ধুদের সাথে ছবি আঁকি। মজা হয়।","বন্ধুদের সাথে ছবি আঁকি।","Two stick figures drawing with red crayons. Plain white background, no extra details."
56,"আমি যখন বাগানে ফুল দেখি, তখন আমি হাসি।","বাগানে ফুল দেখি। আমি হাসি।","বাগানে ফুল দেখি। হাসি।","ফুল দেখি।","A single red flower in a garden. Plain white background, no extra details."
57,"আমি আমার বাবার সাথে গাড়ি চালাতে শিখি, যা আমাকে উৎসাহিত করে।","বাবার সাথে গাড়ি চালাতে শিখি। এটা আমাকে উৎসাহিত করে।","বাবার সাথে গাড়ি শিখি। উৎসাহিত হই।","বাবার সাথে গাড়ি শিখি।","A stick figure driving a red car with another stick figure beside them. Plain white background, no extra details."
58,"আমি যখন পার্কে সাইকেল চালাই, তখন আমি সুস্থ থাকি।","পার্কে সাইকেল চালাই। আমি সুস্থ থাকি।","পার্কে সাইকেল চালাই। সুস্থ থাকি।","সাইকেল চালাই।","A stick figure riding a red bicycle in a park. Plain white background, no extra details."
59,"আমি আমার বন্ধুদের সাথে গান শুনি, যা আমাদের আনন্দ দেয়।","বন্ধুদের সাথে গান শুনি। এটা আনন্দ দেয়।","বন্ধুদের সাথে গান শুনি। আনন্দ হয়।","বন্ধুদের সাথে গান শুনি।","Two stick figures with blue music notes above their heads. Plain white background, no extra details."
60,"আমি যখন সমুদ্রে মাছ ধরি, তখন আমি মজা পাই।","সমুদ্রে মাছ ধরি। আমি মজা পাই।","সমুদ্রে মাছ ধরি। মজা পাই।","মাছ ধরি।","A stick figure holding a fishing rod with a blue fish on the line. Plain white background, no extra details."
61,"আমি আমার বাগানে পাখি দেখি, যা আমাকে খুশি করে।","বাগানে পাখি দেখি। এটা আমাকে খুশি করে।","বাগানে পাখি দেখি। খুশি হই।","পাখি দেখি।","A single bird with bright yellow feathers in a garden. Plain white background, no extra details."
62,"আমি যখন আমার বন্ধুদের সাথে হাসি, তখন আমরা মজা পাই।","বন্ধুদের সাথে হাসি। আমরা মজা পাই।","বন্ধুদের সাথে হাসি। মজা পাই।","বন্ধুদের সাথে হাসি।","Two stick figures laughing with happy faces. Use blue stick figures and a plain white background. No other elements."
63,"আমি যখন পড়াশোনা করি, তখন আমি শিক্ষকের প্রশংসা পাই।","পড়াশোনা করি। শিক্ষকের প্রশংসা পাই।","পড়ি। শিক্ষক প্রশংসা করে।","পড়ি।","A stick figure reading a blue book with a gold star above their head. Plain white background, no extra details."
64,"আমি আমার মায়ের সাথে বাগানে ফুল লাগাই, যা আমাদের বাগান সুন্দর করে।","মায়ের সাথে বাগানে ফুল লাগাই। বাগান সুন্দর হয়।","মায়ের সাথে ফুল লাগাই। বাগান সুন্দর।","মায়ের সাথে ফুল লাগাই।","Two stick figures planting a red flower in a garden. Plain white background, no extra details."
65,"আমি যখন আকাশে প্লেন দেখি, তখন আমি উৎসাহিত হই।","আকাশে প্লেন দেখি। আমি উৎসাহিত হই।","আকাশে প্লেন দেখি। উৎসাহিত হই।","প্লেন দেখি।","A red airplane flying in a blue sky. Plain white background, no extra details."
66,"আমি আমার বন্ধুদের সাথে খেলনা শেয়ার করি, যা আমাদের বন্ধুত্ব বাড়ায়।","বন্ধুদের সাথে খেলনা শেয়ার করি। বন্ধুত্ব বাড়ে।","বন্ধুদের সাথে খেলনা শেয়ার করি। বন্ধুত্ব বাড়ে।","বন্ধুদের সাথে খেলনা শেয়ার করি।","Two stick figures sharing a red toy car. Plain white background, no extra details."
67,"আমি যখন বাগানে প্রজাপতি দেখি, তখন আমি হাসি।","বাগানে প্রজাপতি দেখি। আমি হাসি।","বাগানে প্রজাপতি দেখি। হাসি।","প্রজাপতি দেখি।","A single butterfly with bright yellow wings in a garden. Plain white background, no extra details."
68,"আমি আমার শিক্ষকের কাছ থেকে গণিত শিখি, যা আমাকে সাহায্য করে।","শিক্ষকের কাছ থেকে গণিত শিখি। এটা সাহায্য করে।","শিক্ষকের কাছ থেকে গণিত শিখি। সাহায্য করে।","শিক্ষকের কাছ থেকে গণিত শিখি।","A stick figure writing numbers on a chalkboard with a teacher. Plain white background, no extra details."
69,"আমি যখন পার্কে বন্ধুদের সাথে খেলি, তখন আমি মজা পাই।","পার্কে বন্ধুদের সাথে খেলি। আমি মজা পাই।","পার্কে বন্ধুদের সাথে খেলি। মজা পাই।","পার্কে খেলি।","A stick figure playing with a ball in a green park. Plain white background, no extra details."
70,"আমি যখন সমুদ্রে ঢেউ দেখি, তখন আমি শান্ত হই।","সমুদ্রে ঢেউ দেখি। আমি শান্ত হই।","সমুদ্রে ঢেউ দেখি। শান্ত হই।","ঢেউ দেখি।","A blue wave in the sea. Plain white background, no extra details."
71,"আমি আমার বন্ধুদের সাথে গল্প শুনি, যা আমাদের মজা দেয়।","বন্ধুদের সাথে গল্প শুনি। এটা মজা দেয়।","বন্ধুদের সাথে গল্প শুনি। মজা হয়।","বন্ধুদের সাথে গল্প শুনি।","Two stick figures listening with speech bubbles above their heads. Plain white background, no extra details."
72,"আমি যখন বাগানে গাছের ছায়ায় বসি, তখন আমি শান্ত হই।","বাগানে গাছের ছায়ায় বসি। আমি শান্ত হই।","বাগানে গাছের ছায়ায় বসি। শান্ত হই।","গাছের ছায়ায় বসি।","A stick figure sitting under a green tree. Plain white background, no extra details."
73,"আমি আমার বন্ধুদের সাথে পড়াশোনা করি, যা আমাদের জ্ঞান বাড়ায়।","বন্ধুদের সাথে পড়াশোনা করি। জ্ঞান বাড়ে।","বন্ধুদের সাথে পড়ি। জ্ঞান বাড়ে।","বন্ধুদের সাথে পড়ি।","Two stick figures reading blue books together. Plain white background, no extra details."
74,"আমি যখন আকাশে পাখি দেখি, তখন আমি মজা পাই।","আকাশে পাখি দেখি। আমি মজা পাই।","আকাশে পাখি দেখি। মজা পাই।","পাখি দেখি।","A single bird with bright yellow feathers flying in a blue sky. Plain white background, no extra details."
75,"আমি আমার মায়ের সাথে রান্না করি, যা আমাকে আনন্দ দেয়।","মায়ের সাথে রান্না করি। এটা আনন্দ দেয়।","মায়ের সাথে রান্না করি। আনন্দ হয়।","মায়ের সাথে রান্না করি।","Two stick figures cooking with a red pot. Plain white background, no extra details."
76,"আমি যখন পার্কে সাইকেল চালাই, তখন আমি সুস্থ থাকি।","পার্কে সাইকেল চালাই। আমি সুস্থ থাকি।","পার্কে সাইকেল চালাই। সুস্থ থাকি।","সাইকেল চালাই।","A stick figure riding a red bicycle in a park. Plain white background, no extra details."
77,"আমি আমার বন্ধুদের সাথে গান গাই, যা আমাদের মজা দেয়।","বন্ধুদের সাথে গান গাই। এটা মজা দেয়।","বন্ধুদের সাথে গান গাই। মজা হয়।","বন্ধুদের সাথে গান গাই।","Two stick figures singing with blue music notes above their heads. Plain white background, no extra details."
78,"আমি যখন সমুদ্রে সাঁতার কাটি, তখন আমি শান্ত হই।","সমুদ্রে সাঁতার কাটি। আমি শান্ত হই।","সমুদ্রে সাঁতার কাটি। শান্ত হই।","সাঁতার কাটি।","A stick figure swimming in a blue sea. Plain white background, no extra details."
79,"আমি আমার বাগানে ফুল তুলি, যা আমাকে খুশি করে।","বাগানে ফুল তুলি। এটা আমাকে খুশি করে।","বাগানে ফুল তুলি। খুশি হই।","ফুল তুলি।","A stick figure picking a red flower in a garden. Plain white background, no extra details."
80,"আমি যখন আকাশে তারা দেখি, তখন আমি শান্ত হই।","আকাশে তারা দেখি। আমি শান্ত হই।","আকাশে তারা দেখি। শান্ত হই।","তারা দেখি।","A bright yellow star in a dark blue sky. Plain white background, no extra details."
81,"আমি আমার বন্ধুদের সাথে পিকনিকে যাই, যেখানে আমরা হাসি।","বন্ধুদের সাথে পিকনিকে যাই। আমরা হাসি।","বন্ধুদের সাথে পিকনিকে যাই। হাসি।","পিকনিকে যাই।","Two stick figures having a picnic with a red blanket. Plain white background, no extra details."
82,"আমি যখন পড়াশোনা করি, তখন আমি নতুন জিনিস শিখি।","পড়াশোনা করি। নতুন জিনিস শিখি।","পড়ি। নতুন জিনিস শিখি।","পড়ি।","A stick figure reading a blue book at a table. Plain white background, no extra details."
83,"আমি আমার দাদির কাছ থেকে গল্প শুনি, যা আমাকে মজা দেয়।","দাদির কাছ থেকে গল্প শুনি। এটা মজা দেয়।","দাদির কাছ থেকে গল্প শুনি। মজা হয়।","দাদির কাছ থেকে গল্প শুনি।","A stick figure listening to another stick figure with a speech bubble. Plain white background, no extra details."
84,"আমি যখন পার্কে দৌড়াই, তখন আমি মজা পাই।","পার্কে দৌড়াই। আমি মজা পাই।","পার্কে দৌড়াই। মজা পাই।","পার্কে দৌড়াই।","A stick figure running on a green path in a park. Plain white background, no extra details."
85,"আমি আমার বন্ধুদের সাথে গান শুনি, যা আমাদের শান্ত করে।","বন্ধুদের সাথে গান শুনি। এটা শান্ত করে।","বন্ধুদের সাথে গান শুনি। শান্ত হই।","বন্ধুদের সাথে গান শুনি।","Two stick figures with blue music notes above their heads. Plain white background, no extra details."
86,"আমি যখন সমুদ্রে জাহাজ দেখি, তখন আমি মজা পাই।","সমুদ্রে জাহাজ দেখি। আমি মজা পাই।","সমুদ্রে জাহাজ দেখি। মজা পাই।","জাহাজ দেখি।","A red ship on a blue sea. Plain white background, no extra details."
87,"আমি আমার বাগানে পাখি দেখি, যা আমাকে শান্ত করে।","বাগানে পাখি দেখি। এটা আমাকে শান্ত করে।","বাগানে পাখি দেখি। শান্ত হই।","পাখি দেখি।","A single bird with bright yellow feathers in a garden. Plain white background, no extra details."
88,"আমি যখন আমার বন্ধুদের সাথে হাসি, তখন আমরা খুশি হই।","বন্ধুদের সাথে হাসি। আমরা খুশি হই।","বন্ধুদের সাথে হাসি। খুশি হই।","বন্ধুদের সাথে হাসি।","Two stick figures laughing with happy faces. Use blue stick figures and a plain white background. No other elements."
